Trigger Index,Target Index,Trigger Up Threshold (%),Trigger Down Threshold (%),Holding Days,Total Return (%),Sharpe Ratio,Max Drawdown (%)
手套,大盘,1.5,-0.1,7,0.33618142646768023,-5.592338792620006,
手套,大盘,1.5,-0.5,7,0.33618142646768023,-5.592338792620006,
手套,大盘,1.5,-1.5,7,0.33618142646768023,-5.592338792620006,
手套,大盘,1.5,-2.0,7,0.33618142646768023,-5.592338792620006,
手套,大盘,1.5,-0.1,10,0.3335071262180529,-5.642937239015283,
手套,大盘,1.5,-0.5,10,0.3335071262180529,-5.642937239015283,
手套,大盘,1.5,-2.0,10,0.3264222723475514,-5.780992149305413,
手套,大盘,0.1,-0.5,8,0.31913321780657733,-7.287507720615184,
手套,大盘,1.5,-0.5,15,0.3189293990904878,-5.9336713677959985,
手套,大盘,1.5,-0.5,20,0.3189293990904878,-5.9336713677959985,
手套,大盘,0.1,-0.1,8,0.300028533927892,-8.283822600342488,
手套,大盘,0.1,-1.0,8,0.29304937058326935,-8.171649589425906,
手套,大盘,0.1,-1.5,10,0.2803428918450023,-7.610891061114258,
手套,大盘,0.1,-2.0,10,0.2803428918450023,-7.610891061114258,
手套,大盘,0.1,-0.5,10,0.24236834050543363,-9.082480031851219,
手套,大盘,0.1,-1.0,10,0.22905312293048916,-9.729300742509981,
手套,大盘,0.5,-0.1,7,0.16609553496463686,-11.254126759682245,
手套,大盘,0.5,-1.5,7,0.16609553496463686,-11.254126759682245,
手套,大盘,0.5,-2.0,7,0.16609553496463686,-11.254126759682245,
手套,大盘,0.5,-0.5,7,0.16609553496463686,-11.254126759682245,
手套,大盘,0.5,-1.0,7,0.16609553496463686,-11.254126759682245,
手套,大盘,2.0,-1.0,15,0.15194880930353094,-13.243045911180875,
手套,大盘,2.0,-1.0,20,0.15194880930353094,-13.243045911180875,
手套,大盘,1.5,-1.5,20,0.05171283660754288,-40.30344364494586,
手套,大盘,1.5,-1.0,20,0.050311301741849876,-41.44618051096576,
手套,大盘,1.5,-1.0,15,0.050311301741849876,-41.44618051096576,
手套,大盘,1.5,-1.5,15,0.04721955981093661,-44.20689818630363,
手套,大盘,2.0,-1.5,7,0.043424170342292,-48.13343012018017,
手套,大盘,2.0,-1.0,7,0.043424170342292,-48.13343012018017,
手套,大盘,2.0,-0.5,7,0.043424170342292,-48.13343012018017,
手套,大盘,2.0,-2.0,7,0.043424170342292,-48.13343012018017,
手套,大盘,2.0,-0.1,7,0.043424170342292,-48.13343012018017,
手套,大盘,1.5,-0.5,8,-0.03514255427229527,-61.08100823492084,
手套,大盘,1.5,-0.1,8,-0.03514255427229527,-61.08100823492084,
手套,大盘,1.5,-1.5,8,-0.03514255427229527,-61.08100823492084,
手套,大盘,1.5,-1.0,8,-0.03514255427229527,-61.08100823492084,
手套,大盘,2.0,-0.1,8,-0.03514255427229527,-61.08100823492084,
手套,大盘,2.0,-0.5,8,-0.03514255427229527,-61.08100823492084,
手套,大盘,2.0,-1.5,8,-0.03514255427229527,-61.08100823492084,
手套,大盘,2.0,-1.0,8,-0.03514255427229527,-61.08100823492084,
手套,大盘,1.5,-2.0,8,-0.0422781759614296,-50.89301841717956,
手套,大盘,2.0,-2.0,8,-0.0422781759614296,-50.89301841717956,
