Strategy,Total Return (%),Sharpe Ratio,Max Drawdown (%),Final Portfolio Value,Total Trades,Win Trades,Loss Trades,Win Rate (%),fast_length,slow_length,holding_days,printlog,rsi_period,bb_period,bb_dev,oversold,overbought
StrategyMACrossover,0.28916595198338174,-10.680623519122312,,100289.58444000004,10,3,7,30.0,10.0,30.0,7,False,,,,,
StrategyRSIBollinger,0.0201335630621217,-20.646431034856498,,100020.13558999996,6,4,2,66.66666666666666,,,7,False,14.0,20.0,2.0,30.0,70.0
