Trigger Index,Target Index,Trigger Threshold (%),Future Days,Mean Return (%),Std Dev Return (%),Num Triggers,Num Observations
百战指数,多普勒指数,0.5,1,0.6939148367329646,1.7659955163822072,47,47
百战指数,多普勒指数,0.5,5,2.11370027192004,6.197839128844766,47,45
百战指数,多普勒指数,0.5,10,1.8546251401397655,9.034478113012886,47,44
百战指数,千战指数,0.5,1,0.7031030210908176,2.2822446196269595,47,47
百战指数,千战指数,0.5,5,1.475361804002633,6.62896656504277,47,45
百战指数,千战指数,0.5,10,0.578865488102132,4.618874115805839,47,44
百战指数,探员指数,0.5,1,0.5114594070141869,1.6981409862702082,47,47
百战指数,探员指数,0.5,5,1.7347469395265598,5.1117123361991075,47,45
百战指数,探员指数,0.5,10,1.7322544664596047,5.114481413149744,47,44
百战指数,挂件指数,0.5,1,0.5148775974547103,2.2061912342605177,47,47
百战指数,挂件指数,0.5,5,0.5527550761614334,5.297595905624002,47,45
百战指数,挂件指数,0.5,10,0.5436975158909021,6.726313727111994,47,44
百战指数,印花,0.5,1,0.34545522079540325,0.8113449382823572,47,47
百战指数,印花,0.5,5,1.4740451752958188,2.173402188366751,47,45
百战指数,印花,0.5,10,2.2880494238877778,2.2125404404461118,47,44
百战指数,手套,0.5,1,1.0039961559218036,2.4011263371246323,47,47
百战指数,手套,0.5,5,2.130768653587166,8.990035744928756,47,45
百战指数,手套,0.5,10,0.2596630163355876,10.221621816288572,47,44
百战指数,刀,0.5,1,0.35698746832729394,0.8486255284896727,47,47
百战指数,刀,0.5,5,1.1606540262401737,3.0084071214842387,47,45
百战指数,刀,0.5,10,0.8187217720835585,4.0131499267289135,47,44
百战指数,武器箱,0.5,1,0.2773536102325134,1.2449268696083362,47,47
百战指数,武器箱,0.5,5,1.0980857539141813,2.623178384877866,47,45
百战指数,武器箱,0.5,10,0.9887391250470494,2.8210627172944798,47,44
探员指数,大盘,0.5,1,0.3802070474023745,1.9405932346001045,52,52
探员指数,大盘,0.5,5,0.8359855260936184,5.912736413102219,52,51
探员指数,大盘,0.5,10,1.1202716754254696,7.850835796194072,52,48
探员指数,多普勒指数,0.5,1,0.6379678497531935,1.8648026881174744,52,52
探员指数,多普勒指数,0.5,5,1.6453725196145592,6.181821500702144,52,51
探员指数,多普勒指数,0.5,10,2.7878380761873665,9.452940601336715,52,48
探员指数,千战指数,0.5,1,0.29389858543162917,2.0499810330348467,52,52
探员指数,千战指数,0.5,5,0.4435238742894745,4.871925801278089,52,51
探员指数,千战指数,0.5,10,0.9843885458473686,5.141155020197532,52,48
探员指数,百战指数,0.5,1,0.2451844292003387,1.6093590652906402,52,52
探员指数,百战指数,0.5,5,0.5061037382510741,4.272214047244748,52,51
探员指数,百战指数,0.5,10,0.5870408806064243,5.574710611596265,52,48
探员指数,挂件指数,0.5,1,0.1432458310153626,2.5963071800189614,52,52
探员指数,挂件指数,0.5,5,0.8482399967766271,6.230821527787683,52,51
探员指数,挂件指数,0.5,10,1.1401579492449885,8.29938539170718,52,48
探员指数,印花,0.5,1,0.3896955134086321,0.7986677190449064,52,52
探员指数,印花,0.5,5,1.2619698880496257,1.9746630713537066,52,51
探员指数,印花,0.5,10,1.9522887673572722,2.112926000287207,52,48
探员指数,手套,0.5,1,0.5915720530313989,2.3339910957209677,52,52
探员指数,手套,0.5,5,0.9211607573185373,7.28694852339205,52,51
探员指数,手套,0.5,10,1.7818245927376621,10.709791649613262,52,48
探员指数,刀,0.5,1,0.26148745080633534,0.8677118301435495,52,52
探员指数,刀,0.5,5,0.7171521144076709,2.8224686504525844,52,51
探员指数,刀,0.5,10,0.9585872895354891,3.812862351090889,52,48
探员指数,武器箱,0.5,1,0.2951587806013035,1.194424676712022,52,52
探员指数,武器箱,0.5,5,0.6580715329396446,2.079149672807685,52,51
探员指数,武器箱,0.5,10,1.1908366606715555,3.10167467490202,52,48
挂件指数,大盘,0.5,1,0.23813848892062925,1.7110680168403805,54,54
挂件指数,大盘,0.5,5,2.0370667970824186,5.611420194091568,54,52
挂件指数,大盘,0.5,10,2.51087581709326,6.63697000945384,54,50
挂件指数,多普勒指数,0.5,1,0.6813203932593062,3.354297058383799,54,54
挂件指数,多普勒指数,0.5,5,2.8500973294447443,6.634408693243046,54,52
挂件指数,多普勒指数,0.5,10,4.220062179171045,8.222000439153224,54,50
挂件指数,千战指数,0.5,1,0.23504356188345954,1.7167997201905574,54,54
挂件指数,千战指数,0.5,5,1.5211585141521238,5.219287006879193,54,52
挂件指数,千战指数,0.5,10,1.6931867984978068,5.263638500674812,54,50
挂件指数,百战指数,0.5,1,0.17699935861963584,1.45158547880742,54,54
挂件指数,百战指数,0.5,5,0.34061768540128967,3.9579851794081655,54,52
挂件指数,百战指数,0.5,10,0.18304727741295948,4.787015355647071,54,50
挂件指数,探员指数,0.5,1,0.31424273364271876,1.7538646130589386,54,54
挂件指数,探员指数,0.5,5,1.4093280498365373,4.125689670150976,54,52
挂件指数,探员指数,0.5,10,2.8769210202616,5.408255208319264,54,50
挂件指数,印花,0.5,1,0.30824025878041045,0.652684589076079,54,54
挂件指数,印花,0.5,5,1.1062805139532477,1.7951119571790402,54,52
挂件指数,印花,0.5,10,2.171119397916947,2.279957790590307,54,50
挂件指数,手套,0.5,1,0.5029706064656666,2.018222789657942,54,54
挂件指数,手套,0.5,5,2.8854848464922083,7.260720753069866,54,52
挂件指数,手套,0.5,10,3.1054935142082183,8.641620839856008,54,50
挂件指数,刀,0.5,1,0.12913983760756004,0.7142054398066137,54,54
挂件指数,刀,0.5,5,1.0738521601739999,2.4991563943562967,54,52
挂件指数,刀,0.5,10,1.6701584920960306,3.291066218211424,54,50
挂件指数,武器箱,0.5,1,0.191385890691921,0.8590563831399123,54,54
挂件指数,武器箱,0.5,5,0.8100812214711623,2.1996682690974545,54,52
挂件指数,武器箱,0.5,10,1.4105855251356076,2.5873314390964146,54,50
印花,大盘,0.5,1,0.15803047260452827,1.7160977933737112,39,39
印花,大盘,0.5,5,-0.36050446620463183,6.260586634799342,39,38
印花,大盘,0.5,10,-0.8632311527940587,8.284736494356201,39,36
印花,多普勒指数,0.5,1,0.1580949886567808,1.7444236478443989,28,28
印花,多普勒指数,0.5,5,0.001322074476522624,7.764088921368267,28,27
印花,多普勒指数,0.5,10,0.3718088335849612,11.139934883302551,28,25
印花,千战指数,0.5,1,-0.07061060233329221,1.9229996401076086,28,28
印花,千战指数,0.5,5,-0.6944247941955839,5.943580836115388,28,27
印花,千战指数,0.5,10,-0.09491806270381549,5.998483286330472,28,25
印花,百战指数,0.5,1,0.08380186025001321,1.6878470329825364,28,28
印花,百战指数,0.5,5,-0.5898474572201374,4.096202440302367,28,27
印花,百战指数,0.5,10,-0.6486452192328244,4.792030236606768,28,25
印花,探员指数,0.5,1,0.43569630459010844,2.0991872548898667,28,28
印花,探员指数,0.5,5,1.742222317300518,5.217144154663013,28,27
印花,探员指数,0.5,10,2.636097776684914,5.931654466667887,28,25
印花,挂件指数,0.5,1,0.6567418948669462,2.098537753539526,28,28
印花,挂件指数,0.5,5,1.452064162196354,5.694530583740683,28,27
印花,挂件指数,0.5,10,2.570688555196058,8.40794026483791,28,25
印花,手套,0.5,1,0.3046998019497686,1.6125384699301981,39,39
印花,手套,0.5,5,-0.493758862378111,8.021340696547572,39,38
印花,手套,0.5,10,-0.9171802911223939,10.852787293159189,39,36
印花,刀,0.5,1,0.11343646422134959,0.813318015872293,39,39
印花,刀,0.5,5,0.10447482106490633,3.163111861659294,39,38
印花,刀,0.5,10,-0.040911870363864754,4.223216808494189,39,36
印花,武器箱,0.5,1,0.014745518898064604,1.032178133831269,39,39
印花,武器箱,0.5,5,0.1920206326892431,1.9962880830015668,39,38
印花,武器箱,0.5,10,0.16915747014616567,2.8613655683681207,39,36
手套,大盘,0.5,1,0.538917068310702,1.769336147477205,64,64
手套,大盘,0.5,5,1.3658604104221572,5.898263117824072,64,63
手套,大盘,0.5,10,1.3575326173630147,6.903911132258752,64,62
手套,多普勒指数,0.5,1,1.144718508566522,3.3968159357463215,58,58
手套,多普勒指数,0.5,5,2.5750442347043236,6.401733032251949,58,57
手套,多普勒指数,0.5,10,3.7489393328938982,9.16592122453315,58,56
手套,千战指数,0.5,1,0.3039075389575267,2.0645705814420006,58,58
手套,千战指数,0.5,5,0.589912929746715,5.827262779562836,58,57
手套,千战指数,0.5,10,0.4365289921842458,4.859859346598474,58,56
手套,百战指数,0.5,1,0.007883279856534788,1.5782551156767408,58,58
手套,百战指数,0.5,5,-0.48599563443501664,4.3856128328972295,58,57
手套,百战指数,0.5,10,-1.1737002492602013,4.675030166110985,58,56
手套,探员指数,0.5,1,0.29165013222537955,1.8917360832720238,58,58
手套,探员指数,0.5,5,1.4469607055696552,4.802435871456206,58,57
手套,探员指数,0.5,10,2.495552880604709,5.477323794591692,58,56
手套,挂件指数,0.5,1,0.06853275363123214,2.238525708689725,58,58
手套,挂件指数,0.5,5,-0.7820229064305043,5.62240732495987,58,57
手套,挂件指数,0.5,10,-0.19053703341634964,7.882713807262785,58,56
手套,印花,0.5,1,0.24952634950779745,0.714421419654224,64,64
手套,印花,0.5,5,0.9914228644442552,1.7667744825754281,64,63
手套,印花,0.5,10,2.0250449546424205,2.4988845966292375,64,62
手套,刀,0.5,1,0.38633263664070827,0.7553043171871103,64,64
手套,刀,0.5,5,0.9463243864406599,2.717692480531552,64,63
手套,刀,0.5,10,1.130592040005721,3.509081365813459,64,62
手套,武器箱,0.5,1,0.1971097853687579,1.120998208607756,64,64
手套,武器箱,0.5,5,0.5464217669379102,2.4304082516958894,64,63
手套,武器箱,0.5,10,1.2075636044329099,3.351607858218969,64,62
刀,大盘,0.5,1,0.5996475259187037,2.0974045526093104,40,40
刀,大盘,0.5,5,0.014049685151401281,5.614708404406076,40,40
刀,大盘,0.5,10,0.7466396819639083,8.211539812551049,40,40
刀,多普勒指数,0.5,1,1.0603403476538358,1.9754659835961002,40,40
刀,多普勒指数,0.5,5,1.1276813199895925,5.83962452232898,40,40
刀,多普勒指数,0.5,10,2.4922824894495093,9.463670125516185,40,40
刀,千战指数,0.5,1,0.20550840472758466,2.29574939532413,40,40
刀,千战指数,0.5,5,-0.17713455696355046,4.724736945960675,40,40
刀,千战指数,0.5,10,0.6815449474382843,5.370511155238271,40,40
刀,百战指数,0.5,1,0.04850108076574533,1.6984571488193652,40,40
刀,百战指数,0.5,5,-0.4094328091533326,3.9361445684133973,40,40
刀,百战指数,0.5,10,-0.6357868138754867,4.603679262866257,40,40
刀,探员指数,0.5,1,0.5670210431075468,1.8837176804540186,40,40
刀,探员指数,0.5,5,1.4163750625370255,4.588745831713818,40,40
刀,探员指数,0.5,10,2.9673837694155836,5.816607053450713,40,40
刀,挂件指数,0.5,1,-0.018573020637515585,1.8562302836567228,40,40
刀,挂件指数,0.5,5,0.3867111203460352,5.407624579958243,40,40
刀,挂件指数,0.5,10,1.767986792958291,7.197199486419783,40,40
刀,印花,0.5,1,0.2826315681193579,0.6626156110694036,40,40
刀,印花,0.5,5,1.4238381313056574,1.7009887075186403,40,40
刀,印花,0.5,10,2.6952738174075734,2.3673997115688103,40,40
刀,手套,0.5,1,0.8517725796067328,2.763127185557635,40,40
刀,手套,0.5,5,-0.3401101407895696,7.016243615286997,40,40
刀,手套,0.5,10,0.8010665105731306,11.07261602647535,40,40
刀,武器箱,0.5,1,0.14810520751631467,1.135436307303373,40,40
刀,武器箱,0.5,5,0.4197632088580505,2.1022853921085405,40,40
刀,武器箱,0.5,10,1.224611426798429,3.347825656674777,40,40
武器箱,大盘,0.5,1,0.02473310908016971,1.9194403541497047,59,59
武器箱,大盘,0.5,5,0.4141364234696747,5.984912864656736,59,58
武器箱,大盘,0.5,10,0.4717569487753654,6.868839090814488,59,56
武器箱,多普勒指数,0.5,1,-0.011861585777307239,2.796493137918925,35,35
武器箱,多普勒指数,0.5,5,0.6110386058972865,7.506227468621401,35,34
武器箱,多普勒指数,0.5,10,2.383001817262648,10.569132790045423,35,32
武器箱,千战指数,0.5,1,-0.05396264962558155,2.1776953214908783,35,35
武器箱,千战指数,0.5,5,0.7659942245114415,6.813782957009101,35,34
武器箱,千战指数,0.5,10,1.3471296926347625,6.014100467729473,35,32
武器箱,百战指数,0.5,1,-0.07210892689888262,1.7488926271799585,35,35
武器箱,百战指数,0.5,5,0.13072501693882194,5.413174656859278,35,34
武器箱,百战指数,0.5,10,0.31475950288796706,5.717526724008814,35,32
武器箱,探员指数,0.5,1,0.210026672485454,2.002617323429122,35,35
武器箱,探员指数,0.5,5,1.2289904594155683,5.131238320217524,35,34
武器箱,探员指数,0.5,10,2.7274974283395297,5.276099073117858,35,32
武器箱,挂件指数,0.5,1,0.4980294736964936,2.040371570088678,35,35
武器箱,挂件指数,0.5,5,0.9444927483808891,6.488775903974447,35,34
武器箱,挂件指数,0.5,10,1.6856056713846723,8.001173729898053,35,32
武器箱,印花,0.5,1,0.2084447583968525,0.8380220020202565,59,59
武器箱,印花,0.5,5,0.7692586900572688,1.9932723816273097,59,58
武器箱,印花,0.5,10,1.1580944990194213,2.313503863531693,59,56
武器箱,手套,0.5,1,0.07099611666213523,2.479932981486165,59,59
武器箱,手套,0.5,5,0.5045111458050864,7.588649208009894,59,58
武器箱,手套,0.5,10,0.747001503937778,9.313856554023582,59,56
武器箱,刀,0.5,1,0.024086377089153944,1.0287781873493749,59,59
武器箱,刀,0.5,5,0.28460702485596023,2.756053001154756,59,58
武器箱,刀,0.5,10,0.4988435365482696,3.3947249185474013,59,56
